artist_name,track_name,track_id,danceability,energy,acousticness,loudness,tempo,speechiness,era
Next,Too Close,5IFCyWplye09HytIP80RCF,0.847,0.402,0.0118,-9.952,99.693,0.0641,90s
Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",6SkoBaMd0lzoQjID5aV2d9,0.379,0.618,0.337,-7.065,147.53,0.0586,10s
SWV,Weak,71EHOyEOhNx1SzTebRRyng,0.693,0.533,0.107,-10.954,127.661,0.0402,90s
Ne-Yo,She Knows,7seTcUFOhn5caSDbiSfsp0,0.706,0.572,0.0262,-5.799,139.982,0.0326,10s
Diddy,I'll Be Missing You (feat. 112),3QHONiXGMGU3z68mQInncF,0.862,0.479,0.0522,-9.199,109.878,0.0646,90s
John Legend,Tonight (Best You Ever Had),17zF2ISrDrQdaULA8cxReK,0.693,0.813,0.0496,-4.361,90.008,0.066,10s
Keith Sweat,Nobody (feat. Athena Cage),4SF1747p541umnykBp352Q,0.699,0.492,0.484,-9.449,117.907,0.0318,90s
702,Where My Girls At,4VSyH8AkIt3kaR5xIPFVVi,0.719,0.736,0.0373,-7.517,92.179,0.052,90s
Mary J. Blige,Real Love,3XG801WWhqC753dekEBkMt,0.769,0.781,0.119,-5.472,95.02,0.0797,90s
Jennifer Lopez,On The Floor - Radio Edit,0Oe49j06Bjrxs8PltuVeaW,0.758,0.686,0.0848,-6.346,130.007,0.0792,10s
Cher Lloyd,Want U Back,6E11E0lT5Zy7yb6iT3y8DN,0.694,0.891,0.0562,-2.94,97.939,0.0949,10s
Christina Aguilera,Beautiful,3TCauNPqFiniaYHBvEVoHG,0.457,0.573,0.578,-3.866,76.193,0.0275,10s
DeJ Loaf,Back Up,0sr5LOMv4x0jmTYfe6oOvP,0.816,0.535,0.147,-8.302,80.012,0.338,10s
Aaliyah,At Your Best (You Are Love),4lRrk574qIHpoEEKC1zuam,0.626,0.441,0.761,-10.637,78.094,0.0308,90s
Keith Sweat,Twisted,69QIVIjPMnI1ABLBqh9P1b,0.615,0.514,0.393,-9.759,175.849,0.0466,90s
Rihanna,Where Have You Been,5WQQIDU3HRaMyPkob8mpFb,0.719,0.847,0.00201,-6.34,127.963,0.0916,10s
D'Angelo,Lady,7AjfklMN4WpQYz5FkT4E66,0.815,0.364,0.14,-11.834,84.898,0.089,90s
Tori Kelly,Should’ve Been Us,5SUKnxEQaFFeudmI4qYLd9,0.647,0.759,0.00367,-5.468,89.944,0.12,10s
Demi Lovato,Body Say,7xrA11O07xo57Bbg6p4hck,0.63,0.74,0.00589,-4.786,87.01,0.0381,10s
Brandy,The Boy Is Mine,6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,0.539,-6.537,93.145,0.0391,90s
Jason Derulo,Marry Me,3ogtSrlbtiTamktbA0hw0E,0.568,0.631,0.033,-5.623,105.096,0.0273,10s
Mase,Feel so Good,7hfRrdFJgFKK3cJ4rmkecE,0.821,0.703,0.192,-8.464,105.154,0.24,90s
DJ Khaled,"Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)",4VJ7mnW4wjjIgPBM6KWvPu,0.412,0.548,0.0173,-6.981,81.293,0.243,10s
Kid Ink,Be Real (feat. DeJ Loaf),2npJP0YTkykkqjezhA1g8f,0.762,0.601,0.0702,-5.415,99.95,0.0817,10s
Jason Derulo,Wiggle (feat. Snoop Dogg),2sLwPnIP3CUVmIuHranJZU,0.697,0.621,0.0802,-6.886,81.946,0.25,10s
Ciara,Body Party,0rFZaQ4crlGAzuCjWCQ2xu,0.577,0.576,0.0143,-6.299,133.973,0.0563,10s
Kelly Clarkson,Heartbeat Song,7FC9Lng8iXU081lbigu8m8,0.49,0.798,0.0137,-3.66,149.109,0.0489,10s
Tamia,So into You,3c6afiysmB7OnxQzzSqRfD,0.656,0.479,0.0665,-7.055,184.374,0.0348,90s
Ty Dolla $ign,Saved (feat. E-40),5UPNBWFU2TEf9kauIITfBs,0.77,0.69,0.265,-5.565,103.035,0.136,10s
Brownstone,If You Love Me,0BTGqPIW9acmhhUmENkq5r,0.687,0.583,0.224,-10.224,95.137,0.064,90s
Kirk Franklin,I Smile,0UQDSP8cz6WmLJckO5jqUQ,0.745,0.753,0.223,-2.408,144.057,0.164,10s
Rihanna,California King Bed,2dPOobBArCJotBAs0ThXqL,0.469,0.616,0.246,-3.841,169.878,0.0369,10s
Jessie J,Domino,6MAdEUilV2p9RQUqE5bMAK,0.757,0.547,0.0115,-4.573,126.977,0.0355,10s
Fifth Harmony,BO$$,1COvXs6jaykXC73h9OSBVM,0.813,0.872,0.00621,-5.224,103.016,0.107,10s
B.o.B,Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,0.549,0.932,0.0127,-4.11,82.439,0.343,10s
Destiny's Child,"Bills, Bills, Bills",1Oi2zpmL81Q0yScF1zxaC0,0.845,0.576,0.139,-5.15,127.641,0.153,90s
Big Sean,One Man Can Change The World,731Pa6Gt7GAdADATMSEL0N,0.677,0.579,0.773,-6.665,157.967,0.16,10s
Brandy,I Wanna Be Down,6N9uyMZf9pbNOuomveWscp,0.703,0.469,0.177,-6.515,86.038,0.0415,90s
Jessie J,Price Tag,5mvKuE9Lf9ARVXVXA32kK9,0.638,0.831,0.0281,-3.944,175.038,0.182,10s
Rihanna,Man Down,454h9zAIuTe1eJyw9iTnj4,0.477,0.905,0.0428,-3.924,155.856,0.208,10s
Megan Thee Stallion,Big Ole Freak,3YEbLhXRDPTtctnb3ddg8g,0.799,0.699,0.00867,-7.694,142.979,0.204,10s
Soul For Real,Candy Rain,4j1Bk0BEIGCF9hR7cSwl9d,0.576,0.711,0.00433,-7.727,188.242,0.084,90s
Usher,Nice & Slow,5L0KDoZklMgs9GPoonneEl,0.819,0.299,0.153,-11.964,121.913,0.122,90s
Britney Spears,Sometimes,1UI0l2L66HJ9AtoEOlHzv4,0.745,0.742,0.42,-5.693,95.996,0.0259,90s
Maxwell,Ascension (Don't Ever Wonder),6l4TNbfPtNAOOlGIfceSaO,0.753,0.471,0.0805,-10.48,96.038,0.0317,90s
Janet Jackson,That's The Way Love Goes,29rQJydAlO0uMyWvRIZxQg,0.703,0.7,0.302,-6.789,97.675,0.0693,90s
Mariah Carey,Honey,5NaOWLOmVjcA3M5spRATN9,0.694,0.823,0.118,-6.755,95.83,0.0917,90s
T-Pain,Up Down (Do This All Day),1uH1Nd8vet2uoZSDFSDwbh,0.763,0.53,0.272,-5.554,97.033,0.0577,10s
Whitney Houston,My Love Is Your Love,1ckU1EhAO0Nr73QYw24SWJ,0.77,0.475,0.0557,-9.512,82.511,0.159,90s
Boyz II Men,On Bended Knee,7MYmo0JJJDmu4MZTSAF9y3,0.626,0.532,0.413,-8.097,116.621,0.0351,90s
Xscape,Who Can I Run To,0wdaPticLmmqJdhgLDJ9zI,0.71,0.545,0.483,-9.599,140.233,0.0588,90s
DJ Khaled,Top Off,1W6wxOOYyJyyok8fqYSZ3m,0.573,0.591,0.0107,-6.715,86.721,0.331,10s
Tyrese,Sweet Lady,1Dx8rIZaXzZPvUQRF2j9hB,0.588,0.522,0.233,-6.254,66.024,0.0383,90s
Rihanna,What Now,0aUWfpD3PlSv3FTTKcT2rN,0.551,0.702,0.0514,-4.77,90.074,0.0339,10s
Toni Braxton,Un-Break My Heart,5Ihd9HrPvOADyVoonH9ZjB,0.625,0.426,0.413,-8.392,110.018,0.0271,90s
Trey Songz,"Touchin, Lovin (feat. Nicki Minaj)",4bkhs6spQvVnVJAlXuKR6a,0.813,0.58,0.0405,-6.724,100.045,0.0746,10s
Elder Island,Bamboo,2MzQd7zPsbN73mjr90AkL0,0.554,0.573,0.404,-8.266,114.972,0.0662,10s
Fifth Harmony,Sledgehammer,4rUTAkOU7OkVGeQuyQCHhF,0.671,0.777,0.0057,-4.322,99.98,0.046,10s
Demi Lovato,"Let It Go - From ""Frozen / Single Version",1A2PVHd6kWaMlaJVkMfXmz,0.505,0.624,0.0235,-6.513,139.849,0.0371,10s
Nick Jonas,Chains,5Eg4TsPcqNbIjd8ADMZosg,0.589,0.611,0.0151,-5.881,76.006,0.0459,10s
Big Sean,Pull Up N Wreck (& Metro Boomin),7DuvVy7JfFgXwWlVzyyPys,0.49,0.44,0.00806,-7.76,173.095,0.353,10s
Brandy,Have You Ever,6tBD4yjOf9P8rWwUlXdJFm,0.698,0.533,0.542,-6.246,134.001,0.0437,90s
Kid Ink,Main Chick (feat. Chris Brown),2asIUjALYhUbH8hvLUhDWo,0.775,0.496,0.0393,-5.652,95.072,0.0354,10s
Mase,What You Want (feat. Total),6hxn98poTu1O4YZfafvC18,0.838,0.72,0.0312,-6.593,93.76,0.384,90s
Mariah Carey,Emotions,0cELvuwJW1acISUHYB6suj,0.741,0.752,0.0411,-7.009,114.851,0.0359,90s
Jennifer Lopez,If You Had My Love,3x4yV0hW5Ve3TKhFkXSqFn,0.68,0.625,0.0645,-7.0,94.02,0.0353,90s
Demi Lovato,Neon Lights,34MJ07N9Bhu6iKPaxSVnCT,0.631,0.819,0.0767,-4.24,125.928,0.122,10s
Case,Happily Ever After,21fXrzSxu2y51Yqf57QycI,0.746,0.615,0.191,-7.124,120.049,0.0345,90s
Plies,Real Hitta (feat. Kodak Black),1fnRwgZLgAYMM1dVL1oqwG,0.559,0.531,0.0137,-6.981,144.367,0.404,10s
Jason Derulo,The Other Side,5FljCWR0cys07PQ9277GTz,0.561,0.836,0.0525,-3.939,127.923,0.1,10s
All-4-One,I Can Love You Like That,4OnZR9U5JRFGF1Yza9j579,0.635,0.712,0.0811,-4.998,91.024,0.0283,90s
Usher,No Limit (feat. Young Thug),1CDBn2Lm7E63XKQDsdCq6O,0.717,0.523,0.0799,-6.506,127.047,0.0611,10s
Mariah Carey,Heartbreaker,0jsANwwkkHyyeNyuTFq2XO,0.524,0.816,0.384,-5.872,200.031,0.37,90s
Jay Sean,Do You Remember,7yws3pF3FFguwT2Psi6c15,0.854,0.664,0.0278,-4.88,125.84,0.085,10s
H-Town,Knockin' da Boots,6x53SJOV1PAZ8ZUwH4NFXQ,0.726,0.501,0.155,-13.884,128.099,0.154,90s
K CAMP,Cut Her Off,2Vevs2eAQNNb7NTpKj5kqA,0.769,0.616,0.101,-2.882,144.01,0.0403,10s
Tori Kelly,Nobody Love,7fpU0bRJt0SDC8jIgVpbT6,0.753,0.709,0.00634,-5.132,99.966,0.0347,10s
B.o.B,So Good,28GUjBGqZVcAV4PHSYzkj2,0.66,0.9,0.0403,-5.02,85.51,0.14,10s
DJ Khaled,For Free,4JDZl9nKIAhAhDjw753u4X,0.916,0.571,0.0173,-8.241,103.521,0.2,10s
Usher,Climax,5pyVqlqThcxI7tPDjHIzPh,0.647,0.478,0.547,-8.837,135.877,0.0782,10s
Whitney Houston,When You Believe (with Mariah Carey),0JN7vUgUolHGHFrOR8xk7S,0.436,0.39,0.557,-9.62,125.313,0.0326,90s
112,Cupid,3kVIFDE3G89I2RPVkiRaRj,0.685,0.38,0.373,-11.219,175.562,0.112,90s
Aaliyah,Back & Forth,45wneA2j0Z0WMnYNDO6Ad0,0.706,0.727,0.0698,-8.06,92.938,0.0317,90s
Kid Ink,Body Language (feat. Usher & Tinashe),7F51q96XofOD2lntm7hzvQ,0.884,0.53,0.0144,-5.776,99.021,0.0379,10s
Janet Jackson,Together Again,1GrikfH0jDejDvrxo84n4P,0.873,0.591,0.0788,-8.942,123.091,0.102,90s
DeJ Loaf,Try Me,2CY92qejUrhyPUASawNVRr,0.56,0.81,0.0071,-8.029,170.044,0.0872,10s
Kelly Clarkson,Underneath the Tree,3YZE5qDV7u1ZD1gZc47ZeR,0.509,0.812,0.0013,-5.438,159.876,0.0537,10s
Mint Condition,Breakin' My Heart (Pretty Brown Eyes),18sytW2s53Of6NVudQyUlH,0.666,0.531,0.117,-9.881,137.17,0.0521,90s
Janelle Monáe,Yoga,3IJCSQoLF4YzPAKaxq2JLb,0.74,0.546,0.0159,-5.674,130.028,0.0498,10s
Trey Songz,Love Faces,5rX60GiR64Epgri9Ubjzg9,0.654,0.599,0.0599,-6.699,119.778,0.0563,10s
Rihanna,Birthday Cake,4EfN6bixdOOgoLYR5C4cWo,0.702,0.826,0.32,-6.498,80.014,0.0529,10s
DJ Khaled,Hold You Down,2Ima72UXnfvR539afL3SAF,0.525,0.681,0.195,-4.158,151.875,0.0683,10s
Demi Lovato,Fix a Heart,0fMhhdMdbC94rHHK63jwWu,0.333,0.469,0.562,-7.877,170.541,0.0631,10s
Britney Spears,Till the World Ends,38iU2jg98IZZEIJPrP7aWD,0.693,0.705,0.0228,-5.747,131.951,0.0665,10s
Timbaland,Carry Out (Featuring Justin Timberlake),2DHc2e5bBn4UzY0ENVFrUl,0.478,0.569,0.117,-6.764,95.988,0.148,10s
